timestamp,open,high,low,close,volume,delta,delta_pct,cvd,whale_buy_pct,whale_sell_pct,rejection_bot,rejection_top,candle_type
2025-04-08 00:00:00,79163.24,79599.99,79083.33,79357.04,49534857.6665,-15119712.2677,-0.3052,-1675033450.7361,0.2243,0.5384,0.2381,0.1651,Continuação
2025-04-08 00:30:00,79357.05,79485.54,79000.0,79020.04,31480331.4033,-8885032.811,-0.2822,-1683918483.5472,0.2708,0.5102,0.2478,0.1191,Continuação
2025-04-08 01:00:00,79020.04,79777.0,78772.14,79720.01,44796725.0243,6055941.3325,0.1352,-1677862542.2147,0.4482,0.3157,0.3226,0.23,Continuação
2025-04-08 01:30:00,79720.0,80811.07,79659.9,80599.99,100866286.8016,31821765.9703,0.3155,-1646040776.2444,0.5598,0.2545,0.0802,0.3538,Continuação
2025-04-08 02:00:00,80600.0,80867.99,80405.21,80452.19,54358543.1531,-5292683.4427,-0.0974,-1651333459.687,0.3533,0.4567,0.3158,0.2228,Continuação
2025-04-08 02:30:00,80452.19,80452.19,79891.38,79947.05,48370660.6223,-12796615.1954,-0.2646,-1664130074.8825,0.265,0.5114,0.2097,0.1416,Continuação
2025-04-08 03:00:00,79947.05,80182.4,79830.0,80174.01,27979951.0491,1220128.6325,0.0436,-1662909946.2499,0.3964,0.3866,0.2411,0.0924,Continuação
2025-04-08 03:30:00,80174.01,80198.12,79759.9,79904.0,37779798.6958,-6094047.2142,-0.1613,-1669003993.4642,0.3282,0.4727,0.4131,0.1426,Continuação
2025-04-08 04:00:00,79904.0,80280.0,79859.9,80253.84,20670906.2705,-1405863.5675,-0.068,-1670409857.0317,0.3333,0.4538,0.1517,0.1853,Continuação
2025-04-08 04:30:00,80253.85,80413.49,80114.02,80300.0,27689402.5966,-541550.7817,-0.0196,-1670951407.8134,0.4053,0.3709,0.2167,0.1193,Continuação
2025-04-08 05:00:00,80299.99,80312.0,79536.0,79598.01,53359842.9956,-17545439.4107,-0.3288,-1688496847.2241,0.2651,0.5533,0.5068,0.0748,Continuação
2025-04-08 05:30:00,79598.0,79882.16,79580.01,79872.25,28154798.4811,-3111563.7161,-0.1105,-1691608410.9403,0.3603,0.4708,0.0928,0.2614,Continuação
2025-04-08 06:00:00,79872.24,79872.24,79362.78,79402.32,38936918.487,-14081046.4226,-0.3616,-1705689457.3629,0.2135,0.5455,0.3362,0.0586,Continuação
2025-04-08 06:30:00,79402.31,79565.22,79279.5,79447.3,26379985.6833,2694879.3415,0.1022,-1702994578.0214,0.411,0.3395,0.1086,0.198,Continuação
2025-04-08 07:00:00,79447.29,79714.21,79219.9,79571.05,30578467.1849,3415235.8675,0.1117,-1699579342.1539,0.437,0.3217,0.1107,0.2711,Continuação
2025-04-08 07:30:00,79571.05,79571.05,79264.61,79496.0,37419864.5997,4647576.5272,0.1242,-1694931765.6267,0.4429,0.2907,0.0777,0.2274,Continuação
2025-04-08 08:00:00,79496.01,79528.35,78939.0,78939.74,42667765.9967,-13359069.2869,-0.3131,-1708290834.9137,0.2349,0.5201,0.3666,0.1793,Continuação
2025-04-08 08:30:00,78939.74,79220.0,78939.74,79154.02,39238143.242,-4028189.2834,-0.1027,-1712319024.1971,0.3012,0.4227,0.0522,0.2366,Continuação
2025-04-08 09:00:00,79154.01,79228.42,78880.76,78880.76,44030500.0772,-13142567.8543,-0.2985,-1725461592.0514,0.2565,0.5168,0.1373,0.1804,Continuação
2025-04-08 09:30:00,78880.76,79189.18,78860.49,78900.0,39343225.1581,-12101279.7404,-0.3076,-1737562871.7918,0.2353,0.5377,0.3244,0.227,Continuação
2025-04-08 10:00:00,78900.0,79060.0,78819.65,78995.29,31579926.172,-8372817.302,-0.2651,-1745935689.0938,0.2584,0.5167,0.1626,0.1721,Continuação
2025-04-08 10:30:00,78995.29,79173.92,78918.02,79003.54,26638708.3741,-1238418.5284,-0.0465,-1747174107.6222,0.2791,0.4168,0.1774,0.2165,Continuação
2025-04-08 11:00:00,79003.54,79362.08,78961.78,79353.99,55219852.4054,9959191.8993,0.1804,-1737214915.7229,0.4308,0.3046,0.1458,0.2335,Continuação
2025-04-08 11:30:00,79353.99,80077.65,79329.76,79982.0,58488393.223,10368396.2316,0.1773,-1726846519.4913,0.4781,0.3072,0.0848,0.1572,Continuação
2025-04-08 12:00:00,79982.0,80122.0,79766.38,79880.0,73586610.5404,-15589523.5887,-0.2119,-1742436043.08,0.2853,0.4707,0.2726,0.1742,Continuação
2025-04-08 12:30:00,79880.01,79980.0,79559.9,79837.99,30987165.3304,-3716118.2689,-0.1199,-1746152161.3489,0.345,0.4344,0.2128,0.1197,Continuação
2025-04-08 13:00:00,79837.99,80370.0,79766.0,80177.28,111256364.9989,15740.2399,0.0001,-1746136421.109,0.3966,0.4019,0.0831,0.2365,Continuação
2025-04-08 13:30:00,80177.28,80375.0,79381.02,79899.9,116760035.9762,-132687.5065,-0.0011,-1746269108.6155,0.3999,0.3749,0.2034,0.075,Continuação
2025-04-08 14:00:00,79899.9,80258.0,79393.26,79444.01,94741412.2574,-6681758.7215,-0.0705,-1752950867.337,0.3706,0.431,0.3666,0.1405,Continuação
2025-04-08 14:30:00,79443.06,79592.0,78474.0,78479.91,102321602.5889,-22352702.89,-0.2185,-1775303570.227,0.2939,0.4841,0.2155,0.3058,Continuação
2025-04-08 15:00:00,78479.91,78859.85,78175.14,78200.01,124652941.2769,-18694021.6608,-0.15,-1793997591.8878,0.3135,0.4503,0.4348,0.0902,Continuação
2025-04-08 15:30:00,78200.01,78679.33,78186.0,78497.99,49116789.1152,-4623820.9052,-0.0941,-1798621412.793,0.3523,0.4477,0.146,0.2337,Continuação
2025-04-08 16:00:00,78498.0,78522.72,77826.1,78119.81,91322082.7001,-29022045.6528,-0.3178,-1827643458.4459,0.2556,0.5437,0.2497,0.346,Continuação
2025-04-08 16:30:00,78119.8,78231.09,77357.61,77414.25,111293262.3744,-20711117.3347,-0.1861,-1848354575.7806,0.3108,0.4603,0.3892,0.0344,Continuação
2025-04-08 17:00:00,77414.26,77549.72,76568.0,76661.25,112359589.7295,-32793938.9531,-0.2919,-1881148514.7337,0.2636,0.5246,0.169,0.1813,Continuação
2025-04-08 17:30:00,76661.25,77560.0,76556.98,77349.99,128501792.4168,3608873.6787,0.0281,-1877539641.055,0.3913,0.3609,0.2831,0.2339,Continuação
2025-04-08 18:00:00,77350.0,77707.36,77082.65,77328.75,63291761.2719,7265687.679,0.1148,-1870273953.3759,0.4651,0.3478,0.2446,0.0401,Continuação
2025-04-08 18:30:00,77328.75,77999.99,77239.9,77259.91,78728168.7012,2925478.1385,0.0372,-1867348475.2375,0.3993,0.3599,0.346,0.1309,Continuação
2025-04-08 19:00:00,77259.91,77356.0,76555.0,76858.61,129792450.3711,-47134525.8663,-0.3632,-1914483001.1037,0.1902,0.4735,0.1985,0.0543,Continuação
2025-04-08 19:30:00,76858.6,77123.99,76334.65,76854.05,115931650.0543,-22594750.4164,-0.1949,-1937077751.5201,0.2738,0.4193,0.3859,0.0748,Continuação
2025-04-08 20:00:00,76854.05,77000.0,76606.51,76678.0,32817967.4918,-3330365.4491,-0.1015,-1940408116.9692,0.3594,0.4045,0.1032,0.2097,Continuação
2025-04-08 20:30:00,76678.0,77200.79,76621.65,77133.41,32770744.6266,-209667.4392,-0.0064,-1940617784.4085,0.3767,0.4123,0.2826,0.3296,Continuação
2025-04-08 21:00:00,77133.4,77285.5,76779.9,76836.97,18447655.1665,-1984909.9861,-0.1076,-1942602694.3945,0.349,0.4369,0.235,0.1491,Continuação
2025-04-08 21:30:00,76836.96,77133.85,76730.01,77100.0,13338866.073,270572.6481,0.0203,-1942332121.7464,0.3863,0.3836,0.1459,0.4108,Continuação
2025-04-08 22:00:00,77100.0,77135.19,76575.17,76685.0,36936703.7199,-3340863.8108,-0.0904,-1945672985.5572,0.3586,0.4345,0.3135,0.0392,Continuação
2025-04-08 22:30:00,76685.0,76817.83,76239.9,76731.21,36918135.3348,-4887999.5932,-0.1324,-1950560985.1504,0.3281,0.4377,0.2232,0.1647,Continuação
2025-04-08 23:00:00,76731.21,76798.0,76315.66,76352.01,44697062.2904,-9405467.3033,-0.2104,-1959966452.4536,0.3106,0.4509,0.1472,0.0756,Continuação
2025-04-08 23:30:00,76352.01,76544.0,76307.36,76322.42,29143107.3326,-4483528.8866,-0.1538,-1964449981.3402,0.3163,0.3851,0.2654,0.1884,Continuação
